published_date,bestsellers_date,list_name,title,author,primary_isbn13,publisher,rank,rank_last_week,weeks_on_list,amazon_product_url,book_image,description
2025-07-27,2025-07-12,Hardcover Fiction,DUNGEON CRAWLER CARL,Matt Dinniman,9780593820247,Ace,14,0,1,https://www.amazon.com/dp/B08V8877BY?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593820247.jpg,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon."
2025-07-27,2025-07-12,Hardcover Fiction,BURY OUR BONES IN THE MIDNIGHT SOIL,V.E. Schwab,9781250320520,Tor,15,6,5,https://www.amazon.com/dp/1250320526?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250320520.jpg,"Stories set in Santo Domingo de la Calzada in 1532, London in 1827 and Boston in 2019 explore hunger, love and rage."
2025-08-03,2025-07-19,Hardcover Fiction,AN INSIDE JOB,Daniel Silva,9780063384217,Harper,1,0,1,https://www.amazon.com/dp/0063384213?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780063384217.jpg,"The 25th book in the Gabriel Allon series. The art world, the mob and the Vatican intersect when a Leonardo da Vinci painting goes missing."
2025-08-03,2025-07-19,Hardcover Fiction,THE ENCHANTED GREENHOUSE,Sarah Beth Durst,9781250333988,Bramble,2,0,1,https://www.amazon.com/dp/1250333989?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250333988.jpg,"In this novel set in the world of “The Spellshop,” Terlu Perna must figure out a sorcerer’s secrets to save an island containing magical greenhouses."
2025-08-03,2025-07-19,Hardcover Fiction,THREE SHATTERED SOULS,Mai Corland,9781649379153,Red Tower,3,0,1,https://www.amazon.com/dp/1649379153?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781649379153.jpg,The third book in the Broken Blades series. Allegiances are upended as the Blades face new threats.
2025-08-03,2025-07-19,Hardcover Fiction,ATMOSPHERE,Taylor Jenkins Reid,9780593158715,Ballantine,4,3,7,https://www.amazon.com/dp/0593158717?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593158715.jpg,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program."
2025-08-03,2025-07-19,Hardcover Fiction,ROSE IN CHAINS,Julie Soto,9781538771228,Forever,5,1,2,https://www.amazon.com/dp/1538771225?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781538771228.jpg,"After the dark forces win the war, Evermore's princess, Briony Rosewood, is auctioned off to a member of a family known for its viciousness."
2025-08-03,2025-07-19,Hardcover Fiction,THE WEDDING PEOPLE,Alison Espach,9781250899576,Holt,6,5,33,https://www.amazon.com/dp/1250899575?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250899576.jpg,A woman who is down on her luck forms an unexpected bond with the bride at a wedding in Rhode Island.
2025-08-03,2025-07-19,Hardcover Fiction,NEVER FLINCH,Stephen King,9781668089330,Scribner,7,9,8,https://www.amazon.com/dp/1668089335?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668089330.jpg,Holly Gibney does double duty by helping head off acts of retribution and protecting a women’s rights activist.
2025-08-03,2025-07-19,Hardcover Fiction,THE GIRL I WAS,Jeneva Rose,9780778387480,MIRA,8,0,1,https://www.amazon.com/dp/0778387488?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780778387480.jpg,"After a breakup and the loss of her job, Alexis wakes up in her college town in the year 2002 and comes across her 18-year-old self."
2025-08-03,2025-07-19,Hardcover Fiction,ONYX STORM,Rebecca Yarros,9781649377159,Red Tower,9,7,26,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781649377159.jpg,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025-08-03,2025-07-19,Hardcover Fiction,THE WOMAN IN SUITE 11,Ruth Ware,9781668025628,Gallery/Scout,10,4,2,https://www.amazon.com/dp/1668025620?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668025628.jpg,The second book in the Lo Blacklock series. Blacklock attends the opening of a luxury Swiss hotel and gets swept up in a dangerous pursuit across Europe.
2025-08-03,2025-07-19,Hardcover Fiction,MY FRIENDS,Fredrik Backman,9781982112820,Atria,11,10,11,https://www.amazon.com/dp/1982112824?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781982112820.jpg,A young woman looks into the story behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith.
2025-08-03,2025-07-19,Hardcover Fiction,BROKEN COUNTRY,Clare Leslie Hall,9781668078181,Simon & Schuster,12,11,17,https://www.amazon.com/dp/166807818X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668078181.jpg,Beth must confront her past when the man she once loved as a teenager returns to the village with his son.
2025-08-03,2025-07-19,Hardcover Fiction,THE UNRAVELING OF JULIA,Lisa Scottoline,9781538769997,Grand Central,13,0,1,https://www.amazon.com/dp/1538769999?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781538769997.jpg,Julia Pritzker encounters strange and deadly things when she goes to claim the Tuscan villa and vineyard she inherited from a stranger.
2025-08-03,2025-07-19,Hardcover Fiction,GREAT BIG BEAUTIFUL LIFE,Emily Henry,9780593441299,Berkley,14,8,13,https://www.amazon.com/dp/059344129X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593441299.jpg,A writer looking for her big break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past.
